rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 224/224   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    binder:940_4-8272    [005] ..... 18009.033812: suspend_resume: CPU_OFF[5] begin
    binder:940_4-8272    [000] ..... 18009.038595: suspend_resume: CPU_OFF[5] end
    binder:940_4-8272    [000] ..... 18009.038599: suspend_resume: CPU_OFF[6] begin
    binder:940_4-8272    [000] ..... 18009.046483: suspend_resume: CPU_OFF[6] end
    binder:940_4-8272    [000] ..... 18009.046621: suspend_resume: CPU_ON[1] begin
    binder:940_4-8272    [000] ..... 18009.051147: suspend_resume: CPU_ON[1] end
    binder:940_4-8272    [000] ..... 18009.051159: suspend_resume: CPU_ON[2] begin
    binder:940_4-8272    [000] ..... 18009.055435: suspend_resume: CPU_ON[2] end
    binder:940_4-8272    [000] ..... 18009.055446: suspend_resume: CPU_ON[3] begin
    binder:940_4-8272    [000] ..... 18009.063480: suspend_resume: CPU_ON[3] end
    binder:940_4-8272    [000] ..... 18009.063495: suspend_resume: CPU_ON[4] begin
    binder:940_4-8272    [000] ..... 18009.068006: suspend_resume: CPU_ON[4] end
    binder:940_4-8272    [000] ..... 18009.068020: suspend_resume: CPU_ON[5] begin
    binder:940_4-8272    [000] ..... 18009.072695: suspend_resume: CPU_ON[5] end
    binder:940_4-8272    [000] ..... 18009.072712: suspend_resume: CPU_ON[6] begin
    binder:940_4-8272    [000] ..... 18009.077602: suspend_resume: CPU_ON[6] end
    binder:940_4-8272    [000] ..... 18009.077617: suspend_resume: dpm_resume_noirq[16] begin
    binder:940_4-8272    [000] ..... 18009.080861: suspend_resume: dpm_resume_noirq[16] end
    binder:940_4-8272    [001] ..... 18009.084933: suspend_resume: dpm_resume_early[16] begin
    binder:940_4-8272    [002] ..... 18009.088817: suspend_resume: dpm_resume_early[16] end
    binder:940_4-8272    [002] ..... 18009.088823: suspend_resume: dpm_resume[16] begin
    binder:940_4-8272    [000] ..... 18009.132537: suspend_resume: dpm_resume[16] end
    binder:940_4-8272    [000] ..... 18009.132540: suspend_resume: dpm_complete[16] begin
    binder:940_4-8272    [000] ..... 18009.134840: suspend_resume: dpm_complete[16] end
    binder:940_4-8272    [000] ..... 18009.134843: suspend_resume: resume_console[3] begin
    binder:940_4-8272    [000] ..... 18009.134925: suspend_resume: resume_console[3] end
    binder:940_4-8272    [000] ..... 18009.134928: suspend_resume: thaw_processes[0] begin
    binder:940_4-8272    [001] ..... 18009.145795: suspend_resume: thaw_processes[0] end

stderr=
